sample_id,theta_delta_rad,omega_rad_s,alpha_rad_s2
pmks_negative_0048,-0.11345252676477657,-0.98749759199708265,-0.27129500313910987
pmks_negative_0049,-0.12994881065430386,-0.99207551002298699,-0.27814837245420759
pmks_negative_0050,-0.14652237140405289,-0.99677242641330632,-0.28558183808229204
pmks_negative_0051,-0.16317527489087458,-1.00159837274101,-0.29363971692889207
pmks_negative_0052,-0.17990976054572649,-1.006564156651498,-0.30237090821278717
pmks_negative_0053,-0.19672825494977242,-1.0116814428085055,-0.31182945487388375
pmks_negative_0054,-0.21363338686117195,-1.0169628438566811,-0.32207518625333531
pmks_negative_0055,-0.23062800385139814,-1.0224220228661709,-0.33317445574268933
pmks_negative_0056,-0.2477151907563635,-1.0280738089741888,-0.34520098974597441
pmks_negative_0057,-0.26489829017863165,-1.0339343282369382,-0.35823686752695472
pmks_negative_0058,-0.28218092531343708,-1.0400211520632943,-0.37237365546696422
pmks_negative_0059,-0.2995670254142373,-1.0463534660328087,-0.38771372412015531
pmks_negative_0060,-0.31706085426444597,-1.0529522624220331,-0.40437178245811617
pmks_negative_0061,-0.33466704208248732,-1.0598405603961427,-0.42247667114779403
pmks_negative_0062,-0.3523906213594894,-1.0670436585948495,-0.44217346599975643
pmks_negative_0063,-0.37023706721535565,-1.0745894257872188,-0.46362595437149345
pmks_negative_0064,-0.38821234296289364,-1.0825086364339807,-0.48701956198784779
pmks_negative_0065,-0.4063229516952207,-1.0908353594357658,-0.51256482623975663
pmks_negative_0066,-0.42457599486402708,-1.0996074101361966,-0.54050153573046866
pmks_negative_0067,-0.44297923900202163,-1.108866877887694,-0.57110368624696584
pmks_negative_0068,-0.4615411919706045,-1.1186607443038883,-0.60468544259335988
pmks_negative_0069,-0.4802711903943695,-1.1290416108862757,-0.64160834675992306
pmks_negative_0070,-0.49917950029180158,-1.1400685592522926,-0.68229007973636402
pmks_negative_0071,-0.51827743334512577,-1.1518081730143692,-0.72721517248089595
pmks_negative_0072,-0.53757748179640052,-1.1643357578822688,-0.77694817891916479
pmks_negative_0073,-0.55709347564448319,-1.1777368063563789,-0.83214998137775653
pmks_negative_0074,-0.5768407666925176,-1.1921087662403114,-0.89359811227788544
pmks_negative_0075,-0.59683644511795242,-1.2075631892361016,-0.96221226793659098
pmks_negative_0076,-0.61709959568864503,-1.2242283586635552,-1.0390865941533247
pmks_negative_0077,-0.63765160264263432,-1.2422525261129356,-1.1255308880924437
pmks_negative_0078,-0.6585165147443236,-1.2618079288542596,-1.2231236607077349
pmks_negative_0079,-0.67972148535074461,-1.2830958178739,-1.3337811512896858
pmks_negative_0080,-0.70129730679107605,-1.3063528076311557,-1.4598480553194495
pmks_negative_0081,-0.72327906445068513,-1.3318589738471287,-1.6042181941960789
pmks_negative_0082,-0.74570694435313944,-1.3599482915462007,-1.7704970634882644
pmks_negative_0083,-0.76862723979663072,-1.3910222483946837,-1.9632238721369115
pmks_negative_0084,-0.79209361932932443,-1.4255678301946844,-2.188179549114516
pmks_negative_0085,-0.81616874255153793,-1.4641816252288355,-2.4528213475869851
pmks_negative_0086,-0.8409263459272861,-1.5076026481521132,-2.7669078374775991
pmks_negative_0087,-0.86645397456102358,-1.5567578431629332,-3.143417028177601
pmks_negative_0088,-0.89285661885671719,-1.6128264486003876,-3.5999279078311597
pmks_negative_0089,-0.92026164645461661,-1.6773331527933146,-4.1607569411090708
pmks_negative_0090,-0.94882563467515413,-1.7522865156278697,-4.8603675000186453
pmks_negative_0091,-0.97874407226811422,-1.8403910279095665,-5.7490126672363893
pmks_negative_0092,-1.0102655401065046,-1.9453838433606117,-6.9024833298329558
pmks_negative_0093,-1.0437131654248559,-2.0725928272111678,-8.4398318099425147
pmks_negative_0094,-1.0795184642159035,-2.2299106017611967,-10.557662486050457
pmks_negative_0095,-1.118277556399595,-2.4296076540693168,-13.601805530274778
pmks_negative_0096,-1.160850890440918,-2.6919961257392546,-18.232718251119049
pmks_negative_0097,-1.2085561896053911,-3.0536853288118206,-25.861059551567749
pmks_negative_0098,-1.2635895966738371,-3.5892516738855256,-40.030240683908033
pmks_negative_0099,-1.3301277648265575,-4.4830753674215194,-72.282788345554636
